departure_airport_id,departure_airport,departure_terminal,departure_gate,departure_delay,,,,,,arrival_airport_id,arrival_airport,,,,,,,,,,Country
219,Hong Kong International,1,6,18,,,,,,1,Los Angeles International,,,,,,,,,,Hong Kong
54,Don Miguel Hidalgo y Costilla International,1,D32,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
220,Shanghai Pudong International,1,NULL,68,,,,,,1,Los Angeles International,,,,,,,,,,China
217,Ataturk Airport,NULL,A3,23,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A3,23,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
136,Sharjah International Airport,NULL,NULL,28,,,,,,1,Los Angeles International,,,,,,,,,,United Arab Emirates
81,Seoul (Incheon),1,NULL,64,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
228,Singapore Changi,3,A13,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
228,Singapore Changi,3,A13,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
61,Cancún International,3,C22,20,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C22,20,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C22,20,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
106,Arturo Merino Benitez,NULL,NULL,25,,,,,,1,Los Angeles International,,,,,,,,,,Chile
181,Licenciado Gustavo Díaz Ordaz International,1,B14,5,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,6,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,6,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,6,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D1,12,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D1,12,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
81,Seoul (Incheon),NULL,NULL,16,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
5,Auckland International,I,4C,10,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D2,3,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
230,Kingsford Smith,1,59,6,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,53,13,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,53,13,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,53,13,,,,,,1,Los Angeles International,,,,,,,,,,Australia
81,Seoul (Incheon),2,265,3,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,265,3,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,265,3,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
35,Internacional Benito Juarez,2,65,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,65,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,65,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
179,Jorge Chavez International,NULL,30,15,,,,,,1,Los Angeles International,,,,,,,,,,Peru
179,Jorge Chavez International,NULL,30,15,,,,,,1,Los Angeles International,,,,,,,,,,Peru
35,Internacional Benito Juarez,NULL,NULL,82,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
206,La Aurora,NULL,NULL,2,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
54,Don Miguel Hidalgo y Costilla International,1,D30,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,D30,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49,Narita International Airport,1S,35,15,,,,,,1,Los Angeles International,,,,,,,,,,Japan
61,Cancún International,3,C21,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C21,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C21,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
