departure_airport_id,departure_airport,departure_terminal,departure_gate,departure_delay,,,,,,arrival_airport_id,arrival_airport,,,,,,,,,,Country
196,Frankfurt International Airport,1,Z69,24,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z69,24,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z69,24,,,,,,1,Los Angeles International,,,,,,,,,,Germany
81,Seoul (Incheon),NULL,NULL,15,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
220,Shanghai Pudong International,2,NULL,272,,,,,,1,Los Angeles International,,,,,,,,,,China
,,,,,,,,,,,,,,,,,,,,,
6,Schiphol,2,E17,17,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
6,Schiphol,2,E17,17,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
147,Charles De Gaulle,2E,L26,20,,,,,,1,Los Angeles International,,,,,,,,,,France
147,Charles De Gaulle,2E,L26,20,,,,,,1,Los Angeles International,,,,,,,,,,France
147,Charles De Gaulle,2E,L26,20,,,,,,1,Los Angeles International,,,,,,,,,,France
147,Charles De Gaulle,2E,L26,20,,,,,,1,Los Angeles International,,,,,,,,,,France
48,Beijing Capital International,3,NULL,20,,,,,,1,Los Angeles International,,,,,,,,,,China
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22,Los Cabos,2,13,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,13,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,6,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,13,3,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,3A,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,3A,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,3A,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
81,Seoul (Incheon),NULL,NULL,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
230,Kingsford Smith,1,B,81,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,61,14,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,51,2,,,,,,1,Los Angeles International,,,,,,,,,,Australia
14,Brisbane International,I,NULL,23,,,,,,1,Los Angeles International,,,,,,,,,,Australia
48,Beijing Capital International,3,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,China
208,Daniel Oduber International,NULL,5,12,,,,,,1,Los Angeles International,,,,,,,,,,Costa Rica
81,Seoul (Incheon),NULL,NULL,21,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
6,Schiphol,2,F3,6,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
6,Schiphol,2,F3,6,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
245,Xiamen,3,E,65,,,,,,1,Los Angeles International,,,,,,,,,,China
246,Xoxocotlan,NULL,A1-2,6,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
246,Xoxocotlan,NULL,A1-2,6,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
19,Haneda Airport,NULL,NULL,18,,,,,,1,Los Angeles International,,,,,,,,,,Japan
,,,,,,,,,,,,,,,,,,,,,
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,73,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
6,Schiphol,NULL,NULL,33,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
81,Seoul (Incheon),NULL,NULL,7,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
19,Haneda Airport,3,113,18,,,,,,1,Los Angeles International,,,,,,,,,,Japan
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,62,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
54,Don Miguel Hidalgo y Costilla International,1,B13,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,B13,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
49,Narita International Airport,2,91,5,,,,,,1,Los Angeles International,,,,,,,,,,Japan
228,Singapore Changi,3,B1,24,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
228,Singapore Changi,3,B1,24,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C4,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D8,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
81,Seoul (Incheon),1,32,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,32,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,32,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,32,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,32,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
206,La Aurora,NULL,G4,9,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,G4,9,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,G4,9,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,17,15,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
49,Narita International Airport,1S,31,15,,,,,,1,Los Angeles International,,,,,,,,,,Japan
61,Cancún International,3,C12,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C12,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C12,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
48,Beijing Capital International,3,NULL,12,,,,,,1,Los Angeles International,,,,,,,,,,China
228,Singapore Changi,3,A10,15,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
228,Singapore Changi,3,A10,15,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
49,Narita International Airport,2,81,32,,,,,,1,Los Angeles International,,,,,,,,,,Japan
230,Kingsford Smith,1,58,12,,,,,,1,Los Angeles International,,,,,,,,,,Australia
194,Doha International,NULL,C9,40,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
194,Doha International,NULL,C9,40,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
194,Doha International,NULL,C9,40,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
49,Narita International Airport,2,65,27,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,65,27,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,65,27,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,65,27,,,,,,1,Los Angeles International,,,,,,,,,,Japan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D7,15,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
35,Internacional Benito Juarez,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
81,Seoul (Incheon),NULL,NULL,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
54,Don Miguel Hidalgo y Costilla International,NULL,NULL,66,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
167,Juan Santamaría International,M,3,26,,,,,,1,Los Angeles International,,,,,,,,,,Costa Rica
19,Haneda Airport,3,110,18,,,,,,1,Los Angeles International,,,,,,,,,,Japan
233,Tullamarine,NULL,20,17,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,60,16,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,51,15,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,53,19,,,,,,1,Los Angeles International,,,,,,,,,,Australia
247,Chu-Bu Centrair International (Central Japan International),NULL,NULL,11,,,,,,1,Los Angeles International,,,,,,,,,,Japan
81,Seoul (Incheon),2,265,16,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,265,16,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,265,16,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,265,16,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
217,Ataturk Airport,NULL,A5,21,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A5,21,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A5,21,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A5,21,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
61,Cancún International,3,C12,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C12,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C12,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49,Narita International Airport,1S,36,17,,,,,,1,Los Angeles International,,,,,,,,,,Japan
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
196,Frankfurt International Airport,1,Z66,17,,,,,,1,Los Angeles International,,,,,,,,,,Germany
54,Don Miguel Hidalgo y Costilla International,1,B12,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,B12,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
207,El Salvador International,NULL,G10,8,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,G10,8,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
19,Haneda Airport,NULL,NULL,5,,,,,,1,Los Angeles International,,,,,,,,,,Japan
19,Haneda Airport,3,110,12,,,,,,1,Los Angeles International,,,,,,,,,,Japan
5,Auckland International,I,6,5,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
49,Narita International Airport,NULL,NULL,17,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,62,43,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,62,43,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,62,43,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,62,43,,,,,,1,Los Angeles International,,,,,,,,,,Japan
231,Internacional,A,1,6,,,,,,1,Los Angeles International,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
56,Tocumen International,1,128,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,1,128,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,1,128,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
181,Licenciado Gustavo Díaz Ordaz International,1,8,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,8,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,8,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,19,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,19,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,19,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
207,El Salvador International,NULL,NULL,4,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
,,,,,,,,,,,,,,,,,,,,,
54,Don Miguel Hidalgo y Costilla International,1,A2,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,A2,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,A2,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,A2,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D5,6,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D5,6,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
249,Jose Joaquin De Olmedo,NULL,NULL,30,,,,,,1,Los Angeles International,,,,,,,,,,Ecuador
81,Seoul (Incheon),NULL,NULL,14,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
61,Cancún International,3,C23,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C23,14,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,NULL,NULL,56,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,13,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,12,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,12,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
205,Philip S. W. Goldson International,NULL,5A,10,,,,,,1,Los Angeles International,,,,,,,,,,Belize
19,Haneda Airport,NULL,NULL,11,,,,,,1,Los Angeles International,,,,,,,,,,Japan
81,Seoul (Incheon),2,242,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,242,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,242,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,242,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49,Narita International Airport,NULL,NULL,24,,,,,,1,Los Angeles International,,,,,,,,,,Japan
49,Narita International Airport,2,91,14,,,,,,1,Los Angeles International,,,,,,,,,,Japan
228,Singapore Changi,3,A15,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
228,Singapore Changi,3,A15,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
35,Internacional Benito Juarez,2,74,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,74,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,74,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,72,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
244,Guam International,NULL,18,17,,,,,,1,Los Angeles International,,,,,,,,,,Guam
241,Gen Rafael Buelna,I,2,65,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,6,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
251,Hangzhou,NULL,NULL,58,,,,,,1,Los Angeles International,,,,,,,,,,China
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D5,15,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
217,Ataturk Airport,NULL,B3,9,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,9,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,9,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,9,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
81,Seoul (Incheon),2,251,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,251,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,251,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,251,17,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
48,Beijing Capital International,2,"B,C",88,,,,,,1,Los Angeles International,,,,,,,,,,China
230,Kingsford Smith,1,24,10,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,24,10,,,,,,1,Los Angeles International,,,,,,,,,,Australia
52,Fuzhou,NULL,NULL,19,,,,,,1,Los Angeles International,,,,,,,,,,China
179,Jorge Chavez International,NULL,19,2,,,,,,1,Los Angeles International,,,,,,,,,,Peru
179,Jorge Chavez International,NULL,19,2,,,,,,1,Los Angeles International,,,,,,,,,,Peru
179,Jorge Chavez International,NULL,19,2,,,,,,1,Los Angeles International,,,,,,,,,,Peru
81,Seoul (Incheon),2,254,11,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,254,11,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,254,11,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,254,11,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
220,Shanghai Pudong International,1,NULL,51,,,,,,1,Los Angeles International,,,,,,,,,,China
81,Seoul (Incheon),1,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
252,Christchurch International,NULL,I28,12,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
207,El Salvador International,NULL,8,9,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
206,La Aurora,NULL,19,31,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,G4,13,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,G4,13,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
206,La Aurora,NULL,G4,13,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
49,Narita International Airport,NULL,NULL,21,,,,,,1,Los Angeles International,,,,,,,,,,Japan
35,Internacional Benito Juarez,NULL,NULL,106,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
217,Ataturk Airport,NULL,A2,19,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A2,19,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A2,19,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A2,19,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
220,Shanghai Pudong International,1,NULL,20,,,,,,1,Los Angeles International,,,,,,,,,,China
81,Seoul (Incheon),2,233,20,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,233,20,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,233,20,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,233,20,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D6,16,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
81,Seoul (Incheon),NULL,NULL,9,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
253,Nanjing Lukou International Airport,NULL,NULL,44,,,,,,1,Los Angeles International,,,,,,,,,,China
206,La Aurora,NULL,G4,672,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
5,Auckland International,I,10,10,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
254,Francisco J. Múgica Internacional,1,3,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
254,Francisco J. Múgica Internacional,1,3,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,55,29,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
6,Schiphol,2,G5,20,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
6,Schiphol,2,G5,20,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
6,Schiphol,2,G5,20,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
207,El Salvador International,NULL,NULL,11,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,NULL,11,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,NULL,11,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
48,Beijing Capital International,3,NULL,9,,,,,,1,Los Angeles International,,,,,,,,,,China
,,,,,,,,,,,,,,,,,,,,,
48,Beijing Capital International,2,"B,C",102,,,,,,1,Los Angeles International,,,,,,,,,,China
106,Arturo Merino Benitez,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Chile
147,Charles De Gaulle,2E,K41,24,,,,,,1,Los Angeles International,,,,,,,,,,France
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,35,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
81,Seoul (Incheon),NULL,NULL,5,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
54,Don Miguel Hidalgo y Costilla International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,D31,35,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,NULL,NULL,20,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
252,Christchurch International,NULL,I28,11,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
22,Los Cabos,2,12,19,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C16,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
220,Shanghai Pudong International,2,NULL,40,,,,,,1,Los Angeles International,,,,,,,,,,China
54,Don Miguel Hidalgo y Costilla International,1,D33,24,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,D33,24,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
81,Seoul (Incheon),NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
19,Haneda Airport,NULL,NULL,17,,,,,,1,Los Angeles International,,,,,,,,,,Japan
48,Beijing Capital International,2,"B,C",96,,,,,,1,Los Angeles International,,,,,,,,,,China
205,Philip S. W. Goldson International,NULL,5,5,,,,,,1,Los Angeles International,,,,,,,,,,Belize
218,Taiwan Taoyuan International (Chiang Kai Shek International),1,A8,21,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
167,Juan Santamaría International,M,2,14,,,,,,1,Los Angeles International,,,,,,,,,,Costa Rica
147,Charles De Gaulle,2E,E04,30,,,,,,1,Los Angeles International,,,,,,,,,,France
252,Christchurch International,NULL,I30,21,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
81,Seoul (Incheon),NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
230,Kingsford Smith,1,31,11,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,60,14,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,NULL,53,16,,,,,,1,Los Angeles International,,,,,,,,,,Australia
14,Brisbane International,I,NULL,19,,,,,,1,Los Angeles International,,,,,,,,,,Australia
220,Shanghai Pudong International,NULL,NULL,825,,,,,,1,Los Angeles International,,,,,,,,,,China
244,Guam International,NULL,18,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Guam
81,Seoul (Incheon),NULL,NULL,85,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),NULL,NULL,7,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
35,Internacional Benito Juarez,2,59,35,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,59,35,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,56,26,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,56,26,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
181,Licenciado Gustavo Díaz Ordaz International,1,7,2,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,7,2,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,7,2,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
56,Tocumen International,1,130,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,1,130,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,1,130,19,,,,,,1,Los Angeles International,,,,,,,,,,Panama
106,Arturo Merino Benitez,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Chile
49,Narita International Airport,NULL,NULL,38,,,,,,1,Los Angeles International,,,,,,,,,,Japan
230,Kingsford Smith,1,54,9,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,B,6,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,50,28,,,,,,1,Los Angeles International,,,,,,,,,,Australia
81,Seoul (Incheon),NULL,NULL,20,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
49,Narita International Airport,NULL,NULL,4,,,,,,1,Los Angeles International,,,,,,,,,,Japan
230,Kingsford Smith,1,54,9,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,54,9,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,B,6,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,B,6,,,,,,1,Los Angeles International,,,,,,,,,,Australia
52,Fuzhou,NULL,NULL,21,,,,,,1,Los Angeles International,,,,,,,,,,China
194,Doha International,NULL,C1,20,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
81,Seoul (Incheon),NULL,NULL,5,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,27,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
196,Frankfurt International Airport,1,Z69,22,,,,,,1,Los Angeles International,,,,,,,,,,Germany
215,Ninoy Aquino International,1,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Phillipines
252,Christchurch International,NULL,I28,14,,,,,,1,Los Angeles International,,,,,,,,,,New Zealand
256,Nadi International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,Fiji
147,Charles De Gaulle,2E,E04,30,,,,,,1,Los Angeles International,,,,,,,,,,France
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D6,3,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
216,Guangzhou Baiyun International,2,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,China
216,Guangzhou Baiyun International,2,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,China
