airport,flight_type,dep_airport,City,state,country,dep_airport_iata,arr_airport,arr_airport_iata
Los Angeles International Airport,ARRIVAL,Love Field,Dallas,TX,USA,DAL,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Denver International,Denver,CO,USA,DEN,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Dallas/Fort Worth International,Dallas/Fort Worth,TX,USA,DFW,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Boise Air Terminal/Gowen Field,Boise,ID,USA,IAH,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,George Bush Intercontinental,Houston,TX,USA,IAH,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Sky Harbor International,Phoenix,AZ,USA,PHX,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Sky Harbor International,Phoenix,AZ,USA,PHX,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Haneda Airport,Tokyo,,Japan,HND,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,El Salvador International,San Luis Talpa,,El Salvador,SAL,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,El Salvador International,San Luis Talpa,,El Salvador,SAL,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,San Diego International Airport,Cockburn,,Bahamas,RCY,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Franz Josef Strauss,Munich,,Germany,MUC,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Franz Josef Strauss,Munich,,Germany,MUC,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Fresno Air Terminal Airport,Fresno,CA,USA,FAT,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Fresno Air Terminal Airport,Fresno,CA,USA,FAT,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Nashville International,Nashville,TN,USA,BNA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Nashville International,Nashville,TN,USA,BNA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Nashville International,Nashville,TN,USA,BNA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Nashville International,Nashville,TN,USA,BNA,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Taiwan Taoyuan International (Chiang Kai Shek International),Taipei, ,Taiwan,TPE,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Taiwan Taoyuan International (Chiang Kai Shek International),Taipei, ,Taiwan,TPE,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Taiwan Taoyuan International (Chiang Kai Shek International),Taipei, ,Taiwan,TPE,Los Angeles International Airport,LAX
Los Angeles International Airport,ARRIVAL,Raleigh-durham International Airport,Raleigh,NC,USA,RDA,Los Angeles International Airport,LAX
