departure_to_lax,departure_count_lax,arrival_airport_lax,iata_lax,departure_to_atl,departure_count_atl,arrival_airport_atl,iata_atl
Page,1,Los Angeles International,LAX,Baltimore/Washington International Thurgood Marshall,275,Hartsfield-jackson Atlanta International,ATL
Aspen,192,Los Angeles International,LAX,Will Rogers World Airport,253,Hartsfield-jackson Atlanta International,ATL
Sun Valley,81,Los Angeles International,LAX,Bradley International,324,Hartsfield-jackson Atlanta International,ATL
Teterboro,1,Los Angeles International,LAX,Pierre Elliott Trudeau International,21,Hartsfield-jackson Atlanta International,ATL
Nadi International,8,Los Angeles International,LAX,Joe Foss Field Airport,87,Hartsfield-jackson Atlanta International,ATL
Eagle County,31,Los Angeles International,LAX,Sarasota/Bradenton International,258,Hartsfield-jackson Atlanta International,ATL
Jinan,4,Los Angeles International,LAX,Luis Munoz Marin International,208,Hartsfield-jackson Atlanta International,ATL
Barajas,1,Los Angeles International,LAX,Eastern Iowa Airport,68,Hartsfield-jackson Atlanta International,ATL
Sheremetyevo International,22,Los Angeles International,LAX,Eglin AFB,283,Hartsfield-jackson Atlanta International,ATL
Yampa Valley,16,Los Angeles International,LAX,Punta Cana International,11,Hartsfield-jackson Atlanta International,ATL
Holy Cross,1,Los Angeles International,LAX,Lovell Field,356,Hartsfield-jackson Atlanta International,ATL
Montrose Regional Airport,26,Los Angeles International,LAX,General Mitchell International,256,Hartsfield-jackson Atlanta International,ATL
Scottsdale Municipalcipal,4,Los Angeles International,LAX,Atlantic City International,1,Hartsfield-jackson Atlanta International,ATL
Aguascalients,18,Los Angeles International,LAX,Sangster International,6,Hartsfield-jackson Atlanta International,ATL
Travis AFB,4,Los Angeles International,LAX,Norfolk International Airport,388,Hartsfield-jackson Atlanta International,ATL
Charleston/AFB Municipal,56,Los Angeles International,LAX,Central Illinois Regional Airport at Bloomington-Normal,240,Hartsfield-jackson Atlanta International,ATL
County-Foster,5,Los Angeles International,LAX,Municipal,251,Hartsfield-jackson Atlanta International,ATL
Walker Field,1,Los Angeles International,LAX,Des Moines International,63,Hartsfield-jackson Atlanta International,ATL
Thermal,4,Los Angeles International,LAX,Albemarle,84,Hartsfield-jackson Atlanta International,ATL
Spirit Of St Louis,1,Los Angeles International,LAX,Los Angeles International,489,Hartsfield-jackson Atlanta International,ATL
La Calera,1,Los Angeles International,LAX,Municipal/Baer Field,248,Hartsfield-jackson Atlanta International,ATL
Louisville International (Standiford Field),186,Los Angeles International,LAX,Asheville Regional Airport,223,Hartsfield-jackson Atlanta International,ATL
Bradley International,37,Los Angeles International,LAX,Port Columbus International,176,Hartsfield-jackson Atlanta International,ATL
Douglas County,10,Los Angeles International,LAX,Daytona Beach International Airport,314,Hartsfield-jackson Atlanta International,ATL
Greater Rockford Airport,4,Los Angeles International,LAX,Dane County Regional,214,Hartsfield-jackson Atlanta International,ATL
Zurich,11,Los Angeles International,LAX,Greenville Spartanburg International Airport,449,Hartsfield-jackson Atlanta International,ATL
Napa County,1,Los Angeles International,LAX,Greater Rockford Airport,4,Hartsfield-jackson Atlanta International,ATL
Savannah/Hilton Head,68,Los Angeles International,LAX,Birmingham,287,Hartsfield-jackson Atlanta International,ATL
Ontario International,1,Los Angeles International,LAX,Albert J Ellis,423,Hartsfield-jackson Atlanta International,ATL
Pendleton,1,Los Angeles International,LAX,International Jetport,535,Hartsfield-jackson Atlanta International,ATL
Santa Fe,1,Los Angeles International,LAX,Melbourne International Airport,392,Hartsfield-jackson Atlanta International,ATL
Los Angeles International,90,Los Angeles International,LAX,La Guardia,318,Hartsfield-jackson Atlanta International,ATL
T. F. Green Airport,14,Los Angeles International,LAX,Frankfurt International Airport,33,Hartsfield-jackson Atlanta International,ATL
Austin-straubel Field,30,Los Angeles International,LAX,Charleston/AFB Municipal,290,Hartsfield-jackson Atlanta International,ATL
James Cox Dayton International,83,Los Angeles International,LAX,Mc Ghee Tyson,427,Hartsfield-jackson Atlanta International,ATL
Gerald R. Ford International,56,Los Angeles International,LAX,Ryan,192,Hartsfield-jackson Atlanta International,ATL
Golden Triangle Reg.,19,Los Angeles International,LAX,Roanoke Regional Airport,362,Hartsfield-jackson Atlanta International,ATL
Adams Field Airport,18,Los Angeles International,LAX,Greater Rochester International,76,Hartsfield-jackson Atlanta International,ATL
Richmond International Airport,96,Los Angeles International,LAX,Lester B. Pearson International,113,Hartsfield-jackson Atlanta International,ATL
Eppley Airfield,18,Los Angeles International,LAX,Harrisburg International,161,Hartsfield-jackson Atlanta International,ATL
Northwest Arkansas Regional,50,Los Angeles International,LAX,Blue Grass,287,Hartsfield-jackson Atlanta International,ATL
Metropolitan Airport,30,Los Angeles International,LAX,Mobile Regional Airport,221,Hartsfield-jackson Atlanta International,ATL
Pierre Elliott Trudeau International,13,Los Angeles International,LAX,Gainesville Regional,208,Hartsfield-jackson Atlanta International,ATL
Yeager,26,Los Angeles International,LAX,Jackson-evers,67,Hartsfield-jackson Atlanta International,ATL
Eastern Iowa Airport,3,Los Angeles International,LAX,Valdosta Regional Airport,119,Hartsfield-jackson Atlanta International,ATL
Outagamie County,4,Los Angeles International,LAX,Albany International,72,Hartsfield-jackson Atlanta International,ATL
Eglin AFB,53,Los Angeles International,LAX,Lafayette Regional,106,Hartsfield-jackson Atlanta International,ATL
Lovell Field,103,Los Angeles International,LAX,Sharjah International Airport,266,Hartsfield-jackson Atlanta International,ATL
Sangster International,4,Los Angeles International,LAX,NW Florida Beaches Int,125,Hartsfield-jackson Atlanta International,ATL
Norfolk International Airport,19,Los Angeles International,LAX,Quad-City,29,Hartsfield-jackson Atlanta International,ATL
Central Illinois Regional Airport at Bloomington-Normal,33,Los Angeles International,LAX,Alexandria International,63,Hartsfield-jackson Atlanta International,ATL
Albemarle,31,Los Angeles International,LAX,Tallahassee Regional Airport,202,Hartsfield-jackson Atlanta International,ATL
Asheville Regional Airport,49,Los Angeles International,LAX,Dannelly Field,272,Hartsfield-jackson Atlanta International,ATL
Cyril E King Airport,12,Los Angeles International,LAX,Daniel Oduber International,6,Hartsfield-jackson Atlanta International,ATL
Daytona Beach International Airport,11,Los Angeles International,LAX,Wilmington International,70,Hartsfield-jackson Atlanta International,ATL
Huntsville International - Carl T. Jones Field,73,Los Angeles International,LAX,Myrtle Beach AFB,162,Hartsfield-jackson Atlanta International,ATL
Greenville Spartanburg International Airport,114,Los Angeles International,LAX,Ingeniero Fernando Espinoza Gutiérrez International,1,Hartsfield-jackson Atlanta International,ATL
Sarasota/Bradenton International,44,Los Angeles International,LAX,Hilton Head,55,Hartsfield-jackson Atlanta International,ATL
International Jetport,30,Los Angeles International,LAX,Mid-Continent,90,Hartsfield-jackson Atlanta International,ATL
Municipal/Baer Field,73,Los Angeles International,LAX,Buffalo Niagara International,258,Hartsfield-jackson Atlanta International,ATL
Melbourne International Airport,17,Los Angeles International,LAX,Lehigh Valley International,26,Hartsfield-jackson Atlanta International,ATL
La Guardia,65,Los Angeles International,LAX,Dougherty County,215,Hartsfield-jackson Atlanta International,ATL
Roanoke Regional Airport,63,Los Angeles International,LAX,Aeropuerto de las Américas,80,Hartsfield-jackson Atlanta International,ATL
Greater Rochester International,30,Los Angeles International,LAX,Springfield-Branson Rg,39,Hartsfield-jackson Atlanta International,ATL
Dothan Airport,8,Los Angeles International,LAX,Tri-cities Regional,160,Hartsfield-jackson Atlanta International,ATL
Blue Grass,12,Los Angeles International,LAX,Glynco Jetport,149,Hartsfield-jackson Atlanta International,ATL
Dane County Regional,55,Los Angeles International,LAX,Evansville Regional Airport,156,Hartsfield-jackson Atlanta International,ATL
Jackson-evers,38,Los Angeles International,LAX,Sheffield,38,Hartsfield-jackson Atlanta International,ATL
Valdosta Regional Airport,16,Los Angeles International,LAX,Ontario International,16,Hartsfield-jackson Atlanta International,ATL
Albany International,25,Los Angeles International,LAX,Leonardo Da Vinci (Fiumicino),1,Hartsfield-jackson Atlanta International,ATL
Lafayette Regional,16,Los Angeles International,LAX,Barkley Regional,2,Hartsfield-jackson Atlanta International,ATL
Municipal,74,Los Angeles International,LAX,Aeroporto Internacional Guarulhos,25,Hartsfield-jackson Atlanta International,ATL
NW Florida Beaches Int,29,Los Angeles International,LAX,Syracuse Hancock International Airport,101,Hartsfield-jackson Atlanta International,ATL
Mc Ghee Tyson,26,Los Angeles International,LAX,Norman Manley,2,Hartsfield-jackson Atlanta International,ATL
Des Moines International,12,Los Angeles International,LAX,Mc Kellar-Sipes Regional,4,Hartsfield-jackson Atlanta International,ATL
Tallahassee Regional Airport,29,Los Angeles International,LAX,Ramon Villeda Morales International,4,Hartsfield-jackson Atlanta International,ATL
Dannelly Field,44,Los Angeles International,LAX,Exuma International,8,Hartsfield-jackson Atlanta International,ATL
Piedmont Triad International,91,Los Angeles International,LAX,La Aurora,8,Hartsfield-jackson Atlanta International,ATL
Luis Munoz Marin International,39,Los Angeles International,LAX,El Paso International Airport,4,Hartsfield-jackson Atlanta International,ATL
Wilmington International,1,Los Angeles International,LAX,Liege Airport,7,Hartsfield-jackson Atlanta International,ATL
Gainesville Regional,8,Los Angeles International,LAX,John Wayne,52,Hartsfield-jackson Atlanta International,ATL
Mid-Continent,79,Los Angeles International,LAX,Chennault International.,1,Hartsfield-jackson Atlanta International,ATL
Buffalo Niagara International,62,Los Angeles International,LAX,L. F. Wade International,16,Hartsfield-jackson Atlanta International,ATL
Dougherty County,28,Los Angeles International,LAX,El Nuevo Dorado International,4,Hartsfield-jackson Atlanta International,ATL
Springfield-Branson Rg,4,Los Angeles International,LAX,Tocumen International,4,Hartsfield-jackson Atlanta International,ATL
Port Columbus International,17,Los Angeles International,LAX,Page Field,1,Hartsfield-jackson Atlanta International,ATL
Birmingham,101,Los Angeles International,LAX,Mariscal Sucre,16,Hartsfield-jackson Atlanta International,ATL
South Bend Regional,21,Los Angeles International,LAX,Arturo Merino Benitez,86,Hartsfield-jackson Atlanta International,ATL
Leonardo Da Vinci (Fiumicino),4,Los Angeles International,LAX,Murtala Muhammed,3,Hartsfield-jackson Atlanta International,ATL
Barkley Regional,10,Los Angeles International,LAX,Hewanorra,60,Hartsfield-jackson Atlanta International,ATL
Ryan,3,Los Angeles International,LAX,Mobile Downtown,2,Hartsfield-jackson Atlanta International,ATL
Syracuse Hancock International Airport,20,Los Angeles International,LAX,,,,
Sheffield,1,Los Angeles International,LAX,,,,
Gulfport-Biloxi International,8,Los Angeles International,LAX,,,,
Mobile Regional Airport,14,Los Angeles International,LAX,,,,
Glynco Jetport,15,Los Angeles International,LAX,,,,
Evansville Regional Airport,14,Los Angeles International,LAX,,,,
Tri-cities Regional,15,Los Angeles International,LAX,,,,
El Paso International Airport,8,Los Angeles International,LAX,,,,
Quad-City,13,Los Angeles International,LAX,,,,
Harrisburg International,18,Los Angeles International,LAX,,,,
Pensacola International Airport,17,Los Angeles International,LAX,,,,
Myrtle Beach AFB,7,Los Angeles International,LAX,,,,
Lehigh Valley International,6,Los Angeles International,LAX,,,,
